state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46
02,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1876,76
02,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,363
02,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,43
02,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,41
02,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,-2814,16
02,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,37
02,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,78
02,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,-2189,26
02,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,21
02,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,223
02,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,-2814,75
02,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,69
02,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,85782,149
02,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,123
02,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,28559,46
02,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,19
02,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,542,475
02,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,573,83
02,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,375,117
02,2,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,334,384
02,2,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,36637,44
02,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,625,180
02,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,855,112
02,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,29529,246
02,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1042,189
02,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1668,80
02,5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1459,122
02,5,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,2126,22
02,6,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1042,81
02,6,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2293,170
02,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1042,69
02,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,41797,145
02,7,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,107462,181
02,7,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1251,142
02,7,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1147,18
02,7,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1355,70
02,8,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1355,48
02,9,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1459,26
02,9,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1459,31
02,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1668,58
02,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2085,44
02,10,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,37732,12
02,10,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1511,28
02,10,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2606,287
02,11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2606,32
02,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2710,28
