state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,717
15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,142
15,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,119
15,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,99
15,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,116739,60
15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,101
15,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,96
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,358
15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,251
15,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,104231,38
15,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,17
15,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,376
15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,293
15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,108
15,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,80
15,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,211
15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,510
15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,94850,97
15,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,63
15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,52116,103
15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,291
15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,26058,356
15,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,23
15,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,9
15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,22618,64
15,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,45
15,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,62
15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,442
15,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,428
15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,206
15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-2293,57
15,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,116
15,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,242
15,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,354386,123
15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,375
15,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,93808,99
15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,126
15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,141
15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,284
15,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,790
15,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,143
15,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,53
15,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,281
15,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,33458,40
15,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,37523,140
15,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,36481,54
15,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,53158,139
15,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,100062,65
15,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,74
15,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,327
15,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,34
15,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,31
15,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,41692,149
15,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,131
15,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,56
15,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,68
15,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,140
15,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,78
15,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,29
15,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,45
15,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,401
15,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,313,52
15,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,104,17
15,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,39
15,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,407,14
15,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,313,30
15,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,417,174
15,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,396,194
15,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,521,169
15,3,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,709,280
15,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40754,104
15,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,834,114
15,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,876,444
15,5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,907,81
15,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1042,65
15,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1042,116
15,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1042,135
15,6,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,938,33
15,6,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1876,43
15,7,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1240,73
15,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1251,196
15,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1251,436
15,8,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1251,85
15,8,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1251,97
15,9,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1355,81
15,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2710,193
15,11,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1772,77
15,11,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1668,132
15,12,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,4169,20
15,12,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,2189,113
15,12,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,2408,54
15,12,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1876,14
15,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2085,180
15,13,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,27934,114
15,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,35439,125
15,13,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1980,54
15,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2085,346
15,13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,43777,168
15,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,73035,166
15,14,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2064,39
15,14,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2189,62
15,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2085,152
15,14,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1980,55
15,14,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,2085,58
15,14,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,5003,32
15,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2085,117
15,15,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2116,158
15,15,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,23181,18
15,15,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,36689,62
15,16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3127,84
15,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2397,142
15,18,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2710,49
15,18,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3335,24
15,18,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,2606,202
15,18,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,3690,24
15,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3064,101
