state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,113
20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,265
20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,98
20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-14280,18
20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2407
20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26058,398
20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33354,378
20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41692,21
20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,101104,116
20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,597
20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,73,199
20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,53158,68
20,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-3544,112
20,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1519
20,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,104,191
20,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8651,46
20,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,69
20,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,982
20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25
20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,56
20,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,66
20,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,231
20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,27100,70
20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,208
20,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,31342,123
20,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,40
20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,345
20,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,42
20,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,25
20,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,160
20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,346
20,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,55
20,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,37106,80
20,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,30
20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,13
20,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5
20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,225
20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1046,37
20,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,74
20,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,88596,68
20,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,194
20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,41
20,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,137
20,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,19
20,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,56
20,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,74
20,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,344
20,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,10
20,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,14280,62
20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,747
20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,75046,214
20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,86
20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,104,92
20,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,184
20,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,148
20,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,14
20,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,23
20,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,112
20,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,43777,212
20,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,79
20,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,209
20,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,24
20,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,10423,77
20,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,120
20,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,20846,12
20,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,174
20,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,222
20,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,8338,62
20,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,22514,95
20,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,-1772,66
20,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,926
20,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,220,72
20,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,10423,233
20,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,41692,36
20,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,9
20,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,115
20,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,48
20,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,106
20,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,6983,145
20,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,17407,305
20,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,69
20,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,194
20,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,141
20,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,162
20,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,126
20,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,107
20,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1772,92
20,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,18449,220
20,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,261,109
20,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,88596,156
20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,208,97
20,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,271,142
20,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,188,448
20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,177,79
20,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,521,52
20,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,417,107
20,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,313,111
20,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,417,10
20,2,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,7713,38
20,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,844,107
20,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,33792,80
20,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,10006,681
20,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,525,28
20,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3440,279
20,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,625,333
20,3,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,16469,73
20,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,938,502
20,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,15322,60
20,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21472,236
20,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,573,72
20,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,730,93
20,4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,719,607
20,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,625,205
20,4,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,11987,25
20,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,834,46
20,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,834,96
20,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,803,36
20,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2085,270
20,5,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,844,364
20,5,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1042,39
20,5,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1668,83
20,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1605,32
20,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1021,344
20,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1042,346
20,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1042,18
20,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,29831,122
20,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,834,14
20,6,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1042,19
20,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1042,1135
