state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,171
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200
25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,137
25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,342
25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52,112
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3773
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,104
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63,142
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,136,45
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5212,55
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7922,122
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9381,123
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12508,36
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22931,90
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40650,64
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41692,178
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,89639,276
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,93808,63
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,121950,54
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,62
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,88
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,16
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,52,53
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,792156,40
25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-4586,55
25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-2293,179
25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-2289,70
25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-104,13
25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3455
25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,31,99
25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,72024,61
25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,104367,51
25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,130737,48
25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,61
25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,-2293,215
25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,-2289,52
25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1208
25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,94,58
25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3127,93
25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,21,82
25,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,151
25,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,389
25,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,42,35
25,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,203
25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1027
25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20846,80
25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,59412,270
25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,305
25,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,12
25,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,224
25,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,90
25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,96
25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26058,208
25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,170
25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12508,54
25,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1980,153
25,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,83385,363
25,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,530224,61
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-2293,144
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1007
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,20
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,104,38
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4169,338
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1709
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20117,81
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,86512,34
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,137377,95
25,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,207
25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,108
25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7296,81
25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,65666,64
25,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,130
25,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,86512,290
25,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,36481,39
25,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,62
25,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,607772,47
25,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,312
25,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,237647,178
25,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,153
25,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,110
25,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,52
25,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,238
25,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,86533,604
25,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,22931,163
25,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,375
25,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,21,111
25,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,166
25,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,146
25,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,18553,66
25,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,398
25,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,52
25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,166
25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,87
25,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,164
25,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,121
25,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,99
25,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,42005,19
25,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,187616,18
25,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,15635,53
25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,106
25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,40
25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,251
25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,52116,212
25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,39608,49
25,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,71
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-3961,23
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1864
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20846,56
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,23973,75
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,26058,322
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,31269,60
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,31895,157
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,33354,216
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,38566,80
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,46904,58
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,104231,303
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,166770,89
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,49
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,54200,381
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,112882,196
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,559
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,313,98
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,10423,141
25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,57327,171
25,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,915
25,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,52,145
25,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,146,65
25,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,156,89
25,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,7505,16
25,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,31269,34
25,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,176
25,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,853
25,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,70
25,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,69
25,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,123
25,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,228
25,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,100062,102
25,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,46904,250
25,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,57327,106
25,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,82134,89
25,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,70
25,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,143
25,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,139
25,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,41692,124
25,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,50
25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,271
25,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,158
25,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,62539,91
25,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,47
25,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,48989,228
25,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,135
25,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,34396,217
25,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,88596,109
25,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,101
25,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,47946,41
25,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,51
25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-2293,36
25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,345
25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,125077,42
25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,635
25,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,149
25,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,145
25,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,241
25,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,146
25,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,9485,80
25,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,31269,15
25,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,82134,51
25,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,86522,53
25,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,114654,87
25,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,93
25,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,4169,28
25,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,121742,122
25,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,127162,73
25,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,113
25,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,31269,113
25,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,444
25,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,245
25,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,232
25,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,34
25,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,63
25,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,97
25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,-2293,158
25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1554
25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,10527,114
25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,14592,90
25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,26058,97
25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,78173,175
25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1570
25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,6254,151
25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,57327,49
25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,106316,423
25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,70877,106
25,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,334
25,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,5003,61
25,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,20846,202
25,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,906
25,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,36481,10
25,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,75
25,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,99
25,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,526
25,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,20846,163
25,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,26058,54
25,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,46904,243
25,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,72962,93
25,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,323,59
25,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,233
25,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,70
25,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,623
25,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,218
