state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,197
26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,158431,206
26,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,33
26,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,28
26,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,39
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1876,133
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5471
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,90
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,65
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,29
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52,80
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7296,65
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8026,500
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15635,279
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48989,60
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54200,172
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,509690,62
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,282
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,31,71
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,52,263
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1181
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,52,145
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11257,53
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,52116,150
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1876,319
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-208,79
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4727
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,157
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,21,151
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,31,30
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,63,67
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,104,251
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11465,86
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,63581,80
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,466
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,-1876,49
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3111
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,104,83
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,115,99
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,156,31
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,18032,19
26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,73900,22
26,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,96
26,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,73,26
26,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,41
26,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,57327,214
26,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,-3752,54
26,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1067
26,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,83,41
26,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,573
26,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,21,31
26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,167
26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,363767,102
26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,140
26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,20846,395
26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,12508,84
26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,83385,105
26,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,138
26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94
26,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,88
26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1899
26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4378,311
26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,503
26,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,287
26,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,16677,139
26,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1256
26,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,136
26,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,73
26,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1147,263
26,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6254,103
26,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,54200,212
26,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,29185,107
26,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,18762,62
26,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,56
26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,925
26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,136,59
26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,97977,70
26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,197
26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,81
26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,197
26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,86
26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,31,92
26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7296,67
26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9172,229
26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,105
26,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,104231,112
26,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,20846,142
26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33
26,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,21
26,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,29
26,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,-1876,22
26,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,60
26,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,104231,136
26,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,345
26,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,150
26,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,87
26,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,314
26,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4,106
26,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,96
26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,295
26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,28142,450
26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,68
26,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,125
26,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,32833,198
26,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,112
26,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,21
26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,199
26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,15635,223
26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,33354,117
26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,40
26,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,42
26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-7713,19
26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-6671,21
26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2728
26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,21,90
26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5212,47
26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7296,100
26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,15739,107
26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,17719,24
26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,25015,369
26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,26058,407
26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,36481,54
26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,37523,505
26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,43777,127
26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,46904,102
26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,52116,232
26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,78173,15
26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,83406,204
