state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,88
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5893
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,138
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,61
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52,42
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63,150
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,104,70
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,213,188
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,313,7
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5003,103
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9381,118
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10423,164
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14592,145
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19074,16
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25015,170
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37940,164
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41692,84
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47946,176
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52116,57
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57327,171
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,66499,12
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,104231,140
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,145924,121
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,78
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,89
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,448,69
29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,988
29,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-4169,38
29,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2772
29,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,101
29,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1459,68
29,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7922,97
29,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,33489,32
29,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,42422,22
29,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1497
29,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,10,19
29,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2085,315
29,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,229
29,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,-313,90
29,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,234
29,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,115801,79
29,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,-2074,19
29,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,440
29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,115
29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,25432,220
29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,119
29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,18762,150
29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,69
29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1474
29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,134
29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,30
29,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,57
29,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,42,68
29,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,214
29,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,121
29,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,42
29,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,23973,87
29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,842
29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,494
29,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,31
29,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,59
29,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,659
29,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,206
29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33
29,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,46
29,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,89
