state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54200,80
30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-407,63
30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,563
30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27100,47
30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,207649,71
30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3127,151
30,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-302,48
30,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,776
30,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,306335,67
30,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,274
30,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,333
30,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,75
30,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,8578,318
30,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,47
30,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,31269,56
30,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,139
30,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,114654,162
30,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,62
30,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,115,88
30,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,52
30,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,186
30,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,215
30,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,266
30,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,36481,246
30,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,52116,110
30,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,311
30,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,227
30,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,33990,81
30,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,179
30,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,44819,124
30,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,87
30,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,80258,37
30,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,-4,47
30,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,401
30,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,99
30,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,10,29
30,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,50239,46
30,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,47
30,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,419
30,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,10017,119
30,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,10944,46
30,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,62539,167
30,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,59
30,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,141
30,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7922,183
30,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,13998,88
30,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,156,76
30,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,521,20
30,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,261,111
30,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,281,81
30,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,782,93
30,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,417,158
30,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,521,28
30,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,407,12
30,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1001,21
30,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1042,21
30,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,521,423
30,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,417,88
30,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,552,231
30,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8964,23
30,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,834,68
30,4,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,13863,27
30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,318
30,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,823,151
30,5,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,834,29
30,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1042,14
30,6,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,834,309
30,6,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,28664,61
30,6,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,9746,77
30,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1459,66
30,8,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1251,207
30,8,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1251,102
30,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1251,93
30,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1355,89
30,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1459,279
30,9,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1355,26
