state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,231
33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11778,63
33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22931,35
33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,608710,15
33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,37
33,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1970,29
33,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,536
33,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,176
33,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,21367,91
33,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,82343,66
33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,170
33,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,126
33,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,32
33,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,55
33,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,14
33,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,218
33,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3544,205
33,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,62539,92
33,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,58369,57
33,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,209
33,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,120
33,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,663
33,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,477
33,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,111
33,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,66
33,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,156,21
33,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,10632,88
33,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,120908,68
33,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,8651,66
33,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,52220,75
33,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,25641,125
33,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,313,46
33,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,417,191
33,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,594,13
33,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,18115,199
33,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,313,107
33,3,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,625,86
33,6,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,10673,17
33,6,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,896,311
33,7,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1147,69
33,8,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,19074,47
33,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,23035,73
33,8,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1251,192
33,8,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1355,92
33,8,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,3054,70
33,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,56702,80
33,8,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1251,117
33,8,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1251,79
33,8,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,30852,42
33,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1355,79
33,9,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,100583,106
33,9,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1355,32
33,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1563,18
33,10,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3158,10
33,10,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1459,67
33,10,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2085,60
33,11,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1563,78
33,11,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1668,64
33,11,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,2168,263
33,12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2293,44
33,12,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1772,79
33,12,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1772,133
33,13,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1876,228
33,13,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1876,148
33,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,75046,93
33,13,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2397,11
33,13,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,97560,151
33,13,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,3127,95
33,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5212,83
33,14,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2085,91
33,14,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,127527,14
33,14,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1980,188
33,14,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2189,408
33,14,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1897,60
33,14,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1980,21
33,14,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2064,257
33,14,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,2293,69
33,14,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,4482,461
33,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3127,100
33,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2606,30
33,16,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3127,264
33,16,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2397,138
33,17,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2397,16
33,17,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,5212,120
33,17,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2502,96
33,18,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2647,345
33,18,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2502,145
33,18,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,3335,18
33,18,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,3544,47
