state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26
35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23973,342
35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,441
35,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,30
35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1056
35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,104,79
35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,367
35,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,712
35,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,19
35,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,-5524,44
35,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,139
35,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,36377,53
35,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,93
35,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,148
35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,738
35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1511,135
35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,88
35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,31,56
35,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,129
35,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,84
35,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,87
35,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,12508,107
35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,105
35,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,143
35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52
35,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,148
35,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,208
35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,88
35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,68
35,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,196
35,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,56
35,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,46
35,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2085,199
35,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,346
35,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,215
35,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,25
35,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,18
35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,62
35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,91
35,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,476
35,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,70
35,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,145
35,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,72
35,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,597
35,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,36481,103
35,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,183
35,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,52
35,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,21,229
35,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,11465,185
35,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,69
35,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,328
35,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,5420,79
35,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,41692,77
35,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,182
35,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,239
35,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,95
35,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,138
35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,362
35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,362
35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,56285,62
35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,6
35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,52116,29
35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,62539,350
35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,18
35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,25015,34
35,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,58
35,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,20
35,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,19491,38
35,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,57431,172
35,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,188
35,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,37523,116
35,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,54200,20
35,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,156347,15
35,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,237
35,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,122
35,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,21
35,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,131
35,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,621
35,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4169,182
35,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,753
35,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,122
35,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,22931,60
35,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,-2189,334
35,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1313
35,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,29185,20
35,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,48
35,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,-5524,19
35,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,285
35,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,142
35,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,343
35,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,17
35,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,79
35,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,29185,216
35,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,126
35,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,-2189,55
35,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,594
35,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,8338,24
35,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,13550,29
35,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,29185,31
35,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,32520,34
35,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,35439,26
35,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,61496,29
35,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,155
35,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,63,13
35,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,170
35,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,20638,27
35,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,27100,55
35,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,21
35,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,55
35,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,25
35,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,27100,30
35,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,9
35,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,6
35,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,44
35,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,23
35,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,11257,24
35,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,14592,69
35,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,23
35,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,20
35,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,81686,68
35,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,13508,120
35,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,9798,16
35,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5212,20
35,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,52,60
35,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,219,20
35,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,208,49
35,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,177,83
