state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,601
46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32207,13
46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,63,51
46,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-208,273
46,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,611
46,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,173
46,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-3752,20
46,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,-1876,44
46,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,6
46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,147
46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69
46,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,79
46,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,100
46,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,165
46,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,37
46,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,22410,120
46,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,57
46,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,64
46,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,62539,100
46,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,31478,132
46,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,26
46,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,39608,43
46,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,219
46,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,137
46,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,440
46,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,107
46,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,14905,89
46,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,191
46,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,261,185
46,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,313,132
46,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,313,14
46,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,417,542
46,2,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,730,346
46,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,521,560
46,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,709,71
46,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,61496,181
46,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,61601,32
46,4,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,615,134
46,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,990,128
46,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1251,84
46,7,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,24286,43
46,7,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1709,59
46,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1147,25
46,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1355,16
46,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1355,15
46,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2085,73
46,8,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2502,50
46,9,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1741,331
46,9,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1668,142
46,9,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,3961,101
46,10,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1668,324
46,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,4169,24
46,10,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7922,56
46,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2627,196
46,11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1563,19
46,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1668,154
46,11,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1668,82
46,11,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1772,104
46,11,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1741,127
46,12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1793,17
46,12,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1782,162
46,12,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1876,294
46,12,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,2085,343
46,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11153,239
46,13,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1876,388
46,13,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,53992,29
46,13,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,2710,18
46,13,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,2710,284
46,13,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1928,70
46,14,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,2502,70
46,15,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2189,26
46,15,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,5212,118
46,15,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,32520,156
46,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6462,25
46,16,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2293,121
46,16,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3231,28
46,16,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2293,21
46,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2606,390
46,17,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,15635,28
46,17,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5212,37
46,18,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2606,57
46,19,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3544,85
46,19,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,2918,52
46,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42735,58
46,20,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3127,130
46,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4169,54
46,20,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,3752,135
46,20,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,5837,30
46,21,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,3335,165
46,22,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,53575,252
46,22,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5212,86
46,23,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3231,143
46,23,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,7192,30
46,24,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3335,38
46,24,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,9381,525
46,24,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,10527,166
46,25,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3648,150
46,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5212,34
46,26,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5212,128
46,26,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4586,7
46,27,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3752,63
46,27,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6254,414
46,28,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,5628,18
46,28,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,12299,31
46,29,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4378,19
46,29,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,10319,105
46,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4690,146
46,30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4690,47
46,30,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5420,28
46,30,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,9277,89
46,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6254,60
46,31,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,6045,48
46,31,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,9360,92
46,31,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6567,57
46,31,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5941,55
46,32,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4482,113
46,32,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4378,84
46,32,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,12143,42
46,33,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5212,82
46,34,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,15635,80
46,35,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6254,18
46,35,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,5264,56
46,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7400,168
46,36,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5212,181
46,37,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5420,120
46,37,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5524,194
46,37,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5733,54
46,38,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5430,31
46,38,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,5212,21
46,38,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,18762,53
46,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6254,62
46,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6254,104
46,39,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,13550,266
46,39,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,12404,24
46,40,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6254,45
46,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6462,145
46,41,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5733,22
46,41,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6358,179
46,41,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,55242,35
46,41,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,8755,35
46,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36377,229
46,42,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,5941,27
46,43,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,10110,199
46,44,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6254,86
46,44,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,8338,40
46,45,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,8755,30
46,45,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,15833,15
46,46,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,6775,46
46,46,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,53158,50
46,47,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,42526,81
