state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,370
50,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,31
50,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,180
50,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,21159,83
50,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,39
50,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,108
50,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,229
50,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,62539,191
50,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,83385,42
50,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,41797,252
50,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,180
50,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,38
50,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,75
50,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,28976,45
50,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,180
50,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,551
50,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,220
50,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,7609,204
50,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,88388,208
50,2,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,417,123
50,3,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1563,33
50,3,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,740,173
50,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,615,120
50,5,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,876,165
50,5,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1042,103
50,6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,41276,105
50,7,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1563,101
50,7,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1251,32
50,8,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1668,209
50,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2918,104
50,10,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1668,45
50,10,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5107,102
50,10,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2085,323
50,12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1772,30
50,12,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1772,54
50,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1897,98
50,12,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,2210,120
50,13,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1980,172
50,13,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1876,800
50,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3127,153
50,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2814,26
50,16,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2481,433
50,17,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3127,60
50,18,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,2918,118
50,18,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,26266,30
50,19,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2814,256
50,19,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3440,237
50,20,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4169,133
50,20,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,3127,98
50,23,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3335,29
50,24,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3335,130
50,24,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,4680,56
50,25,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,9819,83
50,26,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4503,56
50,26,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,14592,53
50,27,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,37523,32
50,27,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,5003,15
50,27,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,4169,55
50,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4169,180
50,28,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4065,227
50,28,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4972,49
50,28,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,4899,101
50,28,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4378,53
50,29,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5733,37
50,30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,48572,54
50,30,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4586,30
50,30,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,8693,193
50,32,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4482,386
50,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7817,170
50,33,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,7922,97
50,36,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,5733,21
50,36,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,5212,44
50,37,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5212,122
50,37,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,11153,51
50,38,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,86720,34
50,38,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,7776,352
50,38,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,57744,95
50,38,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,6879,38
50,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5837,40
50,40,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,9902,70
50,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40754,272
50,41,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,162601,100
50,41,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,6462,173
50,41,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,13967,52
50,42,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,23348,31
50,43,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,6421,249
50,45,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,6254,48
50,46,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,8130,58
50,46,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,27267,37
50,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6983,282
50,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7505,121
50,47,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11361,66
50,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7192,104
50,48,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,9381,89
50,48,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,7505,18
50,50,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,26058,30
50,50,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,8964,131
50,50,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,10037,95
50,51,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,9172,16
50,51,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,15322,35
50,51,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,11674,114
50,51,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,46487,170
50,52,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,7088,19
50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7817,153
50,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12508,388
50,54,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,62956,356
50,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8443,136
50,56,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,23973,311
50,56,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,12925,93
50,56,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,8651,41
50,57,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7817,26
50,57,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,11153,133
50,58,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,19804,297
50,59,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9381,206
50,59,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,14592,41
50,59,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,11465,307
50,59,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,13654,145
50,60,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,84260,192
50,60,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,352510,88
50,61,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,9381,38
50,61,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,9756,72
50,63,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9381,41
50,63,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9589,26
50,63,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,12299,57
50,63,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,10840,88
50,63,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,23139,19
50,64,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8964,62
50,64,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9798,36
50,64,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,9068,20
50,64,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,26058,33
50,64,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,28038,233
50,64,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,12508,184
50,65,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,18762,181
50,66,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,10423,43
50,66,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,12612,36
50,67,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,10006,24
50,67,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,21263,21
50,68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,152177,343
50,68,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,13550,400
