state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1294
54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,410
54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36481,8
54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50031,92
54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60454,328
54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,804
54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,136,59
54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11465,286
54,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-323,97
54,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1295
54,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,136,54
54,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,46904,84
54,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,68469,34
54,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,576
54,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,160
54,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,203
54,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1032,82
54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,153
54,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,15635,86
54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,225
54,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5628,104
54,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,66
54,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,138
54,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,56
54,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,19
54,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,76
54,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2814,129
54,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,779
54,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,21,114
54,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20846,10
54,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,47946,111
54,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,93808,70
54,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,139378,36
54,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1179
54,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,28142,68
54,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,31269,28
54,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,205
54,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,16260,162
54,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,253
54,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,113
54,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,87
54,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,52116,72
54,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,33354,33
54,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,168
54,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,36
54,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2438
54,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,46904,102
54,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,83385,81
54,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,-2814,25
54,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1804
54,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,22514,232
54,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,31269,60
54,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,10,68
54,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,575
54,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,16990,79
54,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,76
54,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,202
54,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,49
54,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,111
54,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,436
54,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,489
54,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,83
54,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2085,37
54,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,159
54,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,36
