Provider,State,Weight,Technology,Download Bandwidth Mbps,Upload Bandwidth Mbps,Usage Allowance GB,Monthly Charge,Other Mandatory Charge,Surcharge,Total Charge,Total Charge Spread
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Fiber,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,158920.80625,Cable,1200,200.0,1229.0,122.0,0.0,0.0,122.0,0.0
BellSouth Telecommunications Inc,ALABAMA,29618.8484575429,DSL,25,5.0,1024.0,70.0,0.0,0.0,70.0,0.0
Mediacom Southeast LLC,ALABAMA,7300.07371764177,Cable,25,3.0,inf,14.95,0.0,0.0,14.95,0.0
"Knology Total Communications, Inc.",ALABAMA,10304.175,Fiber,1000,1000.0,inf,99.0,0.0,1.0,100.0,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
Mediacom Southeast LLC,ALABAMA,7300.07371764177,Cable,1000,50.0,3000.0,109.99,0.0,0.0,109.99,0.0
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Fiber,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Fiber,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Fiber,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,158920.80625,Cable,1000,100.0,1229.0,112.0,0.0,0.0,112.0,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
Mediacom Southeast LLC,ALABAMA,7300.07371764177,Cable,300,20.0,1500.0,89.99,0.0,0.0,89.99,0.0
"Cable One, Inc.",ALABAMA,7300.07371764176,Cable,940,50.0,5000.0,85.0,0.0,0.0,85.0,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Fiber,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Fiber,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
Mediacom Southeast LLC,ALABAMA,7300.07371764177,Cable,100,10.0,300.0,34.99,0.0,0.0,34.99,0.0
Mediacom Southeast LLC,ALABAMA,7300.07371764177,Cable,100,5.0,inf,30.0,0.0,0.0,30.0,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,158920.80625,Cable,800,20.0,1229.0,102.0,0.0,0.0,102.0,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,158920.80625,Cable,1000,20.0,1229.0,112.0,0.0,0.0,112.0,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Cable One, Inc.",ALABAMA,7300.07371764176,Cable,600,30.0,5000.0,75.0,0.0,0.0,75.0,0.0
BellSouth Telecommunications Inc,ALABAMA,148094.242287715,Fiber,1000,1000.0,inf,85.0,0.0,0.0,85.0,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
Mediacom Southeast LLC,ALABAMA,7300.07371764177,Cable,100,10.0,300.0,34.99,0.0,0.0,34.99,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Fiber,1000,1000.0,inf,99.0,0.0,1.0,100.0,0.0
"R.M.Greene,Inc.",ALABAMA,7300.07371764177,Cable,35000,3500.0,inf,60.0,0.0,0.0,60.0,0.0
Mediacom Southeast LLC,ALABAMA,7300.07371764177,Cable,300,20.0,1500.0,89.99,0.0,0.0,89.99,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
BellSouth Telecommunications Inc,ALABAMA,29618.8484575429,DSL,10,1.0,1024.0,70.0,0.0,0.0,70.0,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology Total Communications, Inc.",ALABAMA,10304.175,Fiber,1000,1000.0,inf,99.0,0.0,1.0,100.0,0.0
BellSouth Telecommunications Inc,ALABAMA,29618.8484575429,DSL,100,20.0,inf,70.0,0.0,0.0,70.0,0.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology Total Communications, Inc.",ALABAMA,10304.175,Fiber,1000,1000.0,inf,99.0,0.0,1.0,100.0,0.0
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Fiber,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
Mediacom Southeast LLC,ALABAMA,7300.07371764177,Cable,25,3.0,inf,14.95,0.0,0.0,14.95,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
BellSouth Telecommunications Inc,ALABAMA,29618.8484575429,DSL,25,5.0,1024.0,70.0,0.0,0.0,70.0,0.0
BellSouth Telecommunications Inc,ALABAMA,29618.8484575429,DSL,100,20.0,inf,70.0,0.0,0.0,70.0,0.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Cable One, Inc.",ALABAMA,7300.07371764176,Cable,300,20.0,5000.0,65.0,0.0,0.0,65.0,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,317841.6125,Cable,2000,200.0,1229.0,130.0,0.0,0.0,130.0,0.0
"Cable One, Inc.",ALABAMA,7300.07371764176,Cable,300,20.0,5000.0,65.0,0.0,0.0,65.0,0.0
"Cable One, Inc.",ALABAMA,7300.07371764176,Cable,600,30.0,5000.0,75.0,0.0,0.0,75.0,0.0
Mediacom Southeast LLC,ALABAMA,7300.07371764177,Cable,100,5.0,inf,30.0,0.0,0.0,30.0,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,158920.80625,Cable,800,100.0,1229.0,102.0,0.0,0.0,102.0,0.0
"Charter Communications, Inc.",ALABAMA,260531.3,Cable,300,10.0,inf,79.99,0.0,0.0,79.99,0.0
BellSouth Telecommunications Inc,ALABAMA,148094.242287715,Fiber,1000,1000.0,inf,85.0,0.0,0.0,85.0,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Charter Communications, Inc.",ALABAMA,260531.3,Cable,500,20.0,inf,99.99,0.0,0.0,99.99,0.0
BellSouth Telecommunications Inc,ALABAMA,148094.242287715,Fiber,1000,1000.0,inf,85.0,0.0,0.0,85.0,0.0
"Cable One, Inc.",ALABAMA,7300.07371764176,Cable,940,50.0,5000.0,85.0,0.0,0.0,85.0,0.0
"Knology Total Communications, Inc.",ALABAMA,10304.175,Fiber,1000,1000.0,inf,99.0,0.0,1.0,100.0,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology Total Communications, Inc.",ALABAMA,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology Total Communications, Inc.",ALABAMA,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology Total Communications, Inc.",ALABAMA,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
BellSouth Telecommunications Inc,ALABAMA,29618.8484575429,DSL,10,1.0,1024.0,70.0,0.0,0.0,70.0,0.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
Mediacom Southeast LLC,ALABAMA,7300.07371764177,Cable,100,10.0,300.0,34.99,0.0,0.0,34.99,0.0
Mediacom Southeast LLC,ALABAMA,7300.07371764177,Cable,100,5.0,inf,30.0,0.0,0.0,30.0,0.0
Mediacom Southeast LLC,ALABAMA,7300.07371764177,Cable,1000,50.0,3000.0,109.99,0.0,0.0,109.99,0.0
BellSouth Telecommunications Inc,ALABAMA,29618.8484575429,DSL,75,20.0,1024.0,70.0,0.0,0.0,70.0,0.0
"Charter Communications, Inc.",ALABAMA,260531.3,Cable,1000,35.0,inf,119.99,0.0,0.0,119.99,0.0
BellSouth Telecommunications Inc,ALABAMA,29618.8484575429,DSL,100,20.0,inf,70.0,0.0,0.0,70.0,0.0
"Knology Total Communications, Inc.",ALABAMA,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
BellSouth Telecommunications Inc,ALABAMA,29618.8484575429,DSL,75,20.0,1024.0,70.0,0.0,0.0,70.0,0.0
BellSouth Telecommunications Inc,ALABAMA,29618.8484575429,DSL,50,10.0,1024.0,70.0,0.0,0.0,70.0,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Cable One, Inc.",ALABAMA,7300.07371764176,Cable,600,30.0,5000.0,75.0,0.0,0.0,75.0,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,158920.80625,Cable,200,10.0,1229.0,82.0,0.0,0.0,82.0,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,158920.80625,Cable,200,100.0,1229.0,82.0,0.0,0.0,82.0,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,158920.80625,Cable,400,10.0,1229.0,92.0,0.0,0.0,92.0,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,158920.80625,Cable,400,100.0,1229.0,92.0,0.0,0.0,92.0,0.0
BellSouth Telecommunications Inc,ALABAMA,148094.242287715,Fiber,5000,5000.0,inf,255.0,0.0,0.0,255.0,0.0
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Fiber,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
